cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
psykose,majority,record_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.6611165523996083,1.1702778228589004e-16,0.5,0.0,0.3979952830188679,5.851389114294502e-17,0.0,0.0,0.49884393063583826,5.851389114294502e-17,0.33836642343496537,0.0,0.22404240100332745,2.925694557147251e-17,0.30872400973741515,0.0,3.5410158180000877e-06,4.4642556108814255e-22,7.933335161580679e-07,0.0,54.0,0.0,0.40740740740740733,5.851389114294502e-17,0.5925925925925926,0.0,0.5,0.0,0.3720930232558139,5.851389114294502e-17,0.0,0.0,0.5011363636363637,0.03262101001534882,0.46187722491518973,0.03388469037388619,0.2461221556690243,2.1558896642862723e-06,0.17305626722546474,2.485965533116555e-05,0.2935878800434868,1.1652314129759629e-05,0.06852561906435566,2.6104980773287165e-06,54.0,0.0,0.46991956050336736,0.5354117850275044,0.331491039731824,0.5933465851067944,0.5273067022608496,0.7874720422262225,0.5,0.6944444444444444,0.34530093153524855,0.44056834813498597,0.3333333333333333,0.4098360655737705,0.18333076926883557,0.2671648924326057,0.21330305308589695,0.27596039420275137,0.05020251809327833,0.6047470269502769,0.0,0.37926028316053856
psykose,majority,inflation,,,,,,,,,,,,,,,0.06235281524298869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11346923614969773,0.24054934732758856,,,,,,,,,,,,,,,,,,
psykose,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04261363636363641,,,,,,,,,,,,,,,,-0.14807565789473684,0.2271354166666666,,,,,,,,,,,,,,,,
psykose,majority,inflation,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
psykose,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
psykose,majority,inflation,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
psykose,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
psykose,logreg,subject_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.8561214495592557,0.0066017877649803955,0.8474453007921217,0.007098021096235592,0.8418918061160172,0.0071327460622279916,0.6848184881797021,0.014198177749184276,0.9058235923785057,0.006806950957364589,0.8730830413937646,0.010598907891413682,0.11474771516052104,0.004180547858164135,0.8979937936291164,0.05412601784814074,-0.6026222345168091,0.025220361691644325,0.08605024043314001,0.004557089732705584,54.0,0.0,0.40740740740740733,5.851389114294502e-17,0.9537037037037038,0.009760116235087575,0.9538352272727272,0.008235098073355155,0.9522524350649351,0.009903507553151805,0.9048465045614664,0.019446900795976572,0.9751420454545453,0.004699202945378551,0.9777258131035971,0.002756361263716802,0.07383603133865577,0.003111506810373161,2.858370056813116,0.13007998364492546,-0.22628697730958686,0.01540042965796551,0.16331302483420898,0.009141213570335482,54.0,0.0,0.819809671345469,0.9417202129804044,0.942965333709586,1.0,0.8084628808768403,0.8987226922558725,0.90625,1.0,0.7904188907442902,0.8866755192336179,0.9028213166144201,1.0,0.08809941559485254,0.15149190421326242,0.05224688260049978,0.09489212236945467,0.48860433077397597,1.2401677701333236,2.088928583752951,175.4387828279318
psykose,logreg,record_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.8680705190989226,0.0031331617666366606,0.8614127595803897,0.003478646587232431,0.8551898547932245,0.003410290085834635,0.7115608132206895,0.006812734252793467,0.9261216013701562,0.003503886222611649,0.8964399884877746,0.007391826922245191,0.10306858739678673,0.0019342477363396252,1.0653301499086738,0.03521067658401105,-0.6196493479342127,0.011194748707461854,0.07790292483013904,0.0036955203044512653,54.0,0.0,0.40740740740740733,5.851389114294502e-17,0.9611111111111112,0.005856069741052545,0.9600852272727272,0.004941058844013093,0.9597686688311688,0.0059421045318910825,0.919605664548657,0.011668140477585943,0.9938920454545453,0.0017779340298786693,0.9925300743028014,0.0018866916620363392,0.06250733332701944,0.0009599922488890822,3.633507493922803,0.08930856309126721,-0.2621431999656829,0.007676870238759327,0.1716790075536074,0.009441165000504128,54.0,0.0,0.8752727462863857,0.9551596590723149,0.9827815190564635,1.0,0.8180965929773464,0.9018867003904532,0.9263638195331197,1.0,0.7994303314198271,0.891951379374393,0.9197240828215536,1.0,0.07940112817418915,0.13158631650577302,0.0463754809709144,0.07916090741504526,0.7472866181850963,1.3339824297505454,2.5840966946314614,391.7509193638495
psykose,logreg,inflation,,,,,,,,,,,,,,,0.020094198244487327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006191168958776067,0.04112854917117418,,,,,,,,,,,,,,,,,,
